,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR3.root,hfail,Data,Data,,,,,,
145,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail,Signal_gluinoCS-2400,HSCP signal,,,lnN,,,1.018
146,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_PUsyst_up,Signal_gluinoCS-2400,HSCP signal,,Up,shapes,1.0,PUsyst,
147,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_PUsyst_down,Signal_gluinoCS-2400,HSCP signal,,Down,shapes,1.0,PUsyst,
148,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Fsyst_up,Signal_gluinoCS-2400,HSCP signal,,Up,shapes,1.0,Fsyst,
149,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Fsyst_down,Signal_gluinoCS-2400,HSCP signal,,Down,shapes,1.0,Fsyst,
150,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Gsyst_up,Signal_gluinoCS-2400,HSCP signal,,Up,shapes,1.0,Gsyst,
151,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Gsyst_down,Signal_gluinoCS-2400,HSCP signal,,Down,shapes,1.0,Gsyst,
152,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Triggersyst_up,Signal_gluinoCS-2400,HSCP signal,,Up,shapes,1.0,Triggersyst,
153,Signal_gluinoCS-2400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluinoCS-2400-SR3.root,hfail_Triggersyst_down,Signal_gluinoCS-2400,HSCP signal,,Down,shapes,1.0,Triggersyst,
