,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
85,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2600-SR1.root,hfail,Signal_gluino-2600,HSCP signal,,,lnN,,,1.016
86,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2600-SR1.root,hfail_PUsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,PUsyst,
87,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2600-SR1.root,hfail_PUsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,PUsyst,
88,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Fsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Fsyst,
89,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Fsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Fsyst,
90,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Gsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Gsyst,
91,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Gsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Gsyst,
92,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Triggersyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Triggersyst,
93,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Triggersyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Triggersyst,
94,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Ptsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Ptsyst,
95,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2600-SR1.root,hfail_Ptsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Ptsyst,
96,Signal_gluino-2600,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2600-SR1.root,hfail,Signal_gluino-2600,HSCP signal,,,,,,
229,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
314,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-2600-SR1.root,hpass,Signal_gluino-2600,HSCP signal,,,lnN,,,1.016
315,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2600-SR1.root,hpass_PUsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,PUsyst,
316,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-2600-SR1.root,hpass_PUsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,PUsyst,
317,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Fsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Fsyst,
318,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Fsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Fsyst,
319,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Gsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Gsyst,
320,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Gsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Gsyst,
321,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Triggersyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Triggersyst,
322,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Triggersyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Triggersyst,
323,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Ptsyst_up,Signal_gluino-2600,HSCP signal,,Up,shapes,1.0,Ptsyst,
324,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-2600-SR1.root,hpass_Ptsyst_down,Signal_gluino-2600,HSCP signal,,Down,shapes,1.0,Ptsyst,
325,Signal_gluino-2600,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-2600-SR1.root,hpass,Signal_gluino-2600,HSCP signal,,,,,,
