,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
973,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-2000-SR1.root,hfail,Signal_stopCS-2000,HSCP signal,,,lnN,,,1.016
974,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_PUsyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,PUsyst,
975,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_PUsyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,PUsyst,
976,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Fsyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,Fsyst,
977,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Fsyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,Fsyst,
978,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Gsyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,Gsyst,
979,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Gsyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,Gsyst,
980,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Triggersyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,Triggersyst,
981,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Triggersyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,Triggersyst,
982,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Ptsyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,Ptsyst,
983,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_Ptsyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,Ptsyst,
984,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonRecoSF_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
985,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonRecoSF_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
986,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonIDSF_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,MuonIDSF,
987,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonIDSF_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,MuonIDSF,
988,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonTriggerSF_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
989,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_stopCS-2000-SR1.root,hfail_MuonTriggerSF_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
990,Signal_stopCS-2000,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_stopCS-2000-SR1.root,hfail,Signal_stopCS-2000,HSCP signal,,,,,,
1405,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
2378,Signal_stopCS-2000,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_stopCS-2000-SR1.root,hpass,Signal_stopCS-2000,HSCP signal,,,lnN,,,1.016
2379,Signal_stopCS-2000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2000-SR1.root,hpass_PUsyst_up,Signal_stopCS-2000,HSCP signal,,Up,shapes,1.0,PUsyst,
2380,Signal_stopCS-2000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_stopCS-2000-SR1.root,hpass_PUsyst_down,Signal_stopCS-2000,HSCP signal,,Down,shapes,1.0,PUsyst,
