,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
325,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail,Signal_gmsbStau-1409,HSCP signal,,,lnN,,,1.016
326,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_PUsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,PUsyst,
327,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_PUsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,PUsyst,
328,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Fsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Fsyst,
329,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Fsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Fsyst,
330,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Gsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Gsyst,
331,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Gsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Gsyst,
332,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Triggersyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Triggersyst,
333,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Triggersyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Triggersyst,
334,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Ptsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Ptsyst,
335,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_Ptsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Ptsyst,
336,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonRecoSF_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
337,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonRecoSF_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
338,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonIDSF_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,MuonIDSF,
339,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonIDSF_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,MuonIDSF,
340,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonTriggerSF_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
341,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail_MuonTriggerSF_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
342,Signal_gmsbStau-1409,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gmsbStau-1409-SR1.root,hfail,Signal_gmsbStau-1409,HSCP signal,,,,,,
1387,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
1712,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass,Signal_gmsbStau-1409,HSCP signal,,,lnN,,,1.016
1713,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_PUsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,PUsyst,
1714,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_PUsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,PUsyst,
1715,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Fsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Fsyst,
1716,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Fsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Fsyst,
1717,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Gsyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Gsyst,
1718,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Gsyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Gsyst,
1719,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Triggersyst_up,Signal_gmsbStau-1409,HSCP signal,,Up,shapes,1.0,Triggersyst,
1720,Signal_gmsbStau-1409,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gmsbStau-1409-SR1.root,hpass_Triggersyst_down,Signal_gmsbStau-1409,HSCP signal,,Down,shapes,1.0,Triggersyst,
