,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
1,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
206,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-745-SR1.root,hpass,Signal_ppStau-745,HSCP signal,,,lnN,,,1.018
207,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745-SR1.root,hpass_PUsyst_up,Signal_ppStau-745,HSCP signal,,Up,shapes,1.0,PUsyst,
208,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-745-SR1.root,hpass_PUsyst_down,Signal_ppStau-745,HSCP signal,,Down,shapes,1.0,PUsyst,
209,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Fsyst_up,Signal_ppStau-745,HSCP signal,,Up,shapes,1.0,Fsyst,
210,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Fsyst_down,Signal_ppStau-745,HSCP signal,,Down,shapes,1.0,Fsyst,
211,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Gsyst_up,Signal_ppStau-745,HSCP signal,,Up,shapes,1.0,Gsyst,
212,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Gsyst_down,Signal_ppStau-745,HSCP signal,,Down,shapes,1.0,Gsyst,
213,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Triggersyst_up,Signal_ppStau-745,HSCP signal,,Up,shapes,1.0,Triggersyst,
214,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Triggersyst_down,Signal_ppStau-745,HSCP signal,,Down,shapes,1.0,Triggersyst,
215,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Ptsyst_up,Signal_ppStau-745,HSCP signal,,Up,shapes,1.0,Ptsyst,
216,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-745-SR1.root,hpass_Ptsyst_down,Signal_ppStau-745,HSCP signal,,Down,shapes,1.0,Ptsyst,
217,Signal_ppStau-745,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-745-SR1.root,hpass,Signal_ppStau-745,HSCP signal,,,,,,
