,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
13,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-1400-SR1.root,hfail,Signal_gluino-1400,HSCP signal,,,lnN,,,1.018
14,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR1.root,hfail_PUsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,PUsyst,
15,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR1.root,hfail_PUsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,PUsyst,
16,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Fsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Fsyst,
17,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Fsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Fsyst,
18,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Gsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Gsyst,
19,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Gsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Gsyst,
20,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Triggersyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Triggersyst,
21,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Triggersyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Triggersyst,
22,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Ptsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Ptsyst,
23,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR1.root,hfail_Ptsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Ptsyst,
24,Signal_gluino-1400,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-1400-SR1.root,hfail,Signal_gluino-1400,HSCP signal,,,,,,
109,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
122,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_gluino-1400-SR1.root,hpass,Signal_gluino-1400,HSCP signal,,,lnN,,,1.018
123,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR1.root,hpass_PUsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,PUsyst,
124,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_gluino-1400-SR1.root,hpass_PUsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,PUsyst,
125,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Fsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Fsyst,
126,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Fsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Fsyst,
127,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Gsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Gsyst,
128,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Gsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Gsyst,
129,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Triggersyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Triggersyst,
130,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Triggersyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Triggersyst,
131,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Ptsyst_up,Signal_gluino-1400,HSCP signal,,Up,shapes,1.0,Ptsyst,
132,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_gluino-1400-SR1.root,hpass_Ptsyst_down,Signal_gluino-1400,HSCP signal,,Down,shapes,1.0,Ptsyst,
133,Signal_gluino-1400,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_gluino-1400-SR1.root,hpass,Signal_gluino-1400,HSCP signal,,,,,,
