,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
1,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
362,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_ppStau-200-SR1.root,hpass,Signal_ppStau-200,HSCP signal,,,lnN,,,1.018
363,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-200-SR1.root,hpass_PUsyst_up,Signal_ppStau-200,HSCP signal,,Up,shapes,1.0,PUsyst,
364,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_ppStau-200-SR1.root,hpass_PUsyst_down,Signal_ppStau-200,HSCP signal,,Down,shapes,1.0,PUsyst,
365,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Fsyst_up,Signal_ppStau-200,HSCP signal,,Up,shapes,1.0,Fsyst,
366,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Fsyst_down,Signal_ppStau-200,HSCP signal,,Down,shapes,1.0,Fsyst,
367,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Gsyst_up,Signal_ppStau-200,HSCP signal,,Up,shapes,1.0,Gsyst,
368,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Gsyst_down,Signal_ppStau-200,HSCP signal,,Down,shapes,1.0,Gsyst,
369,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Triggersyst_up,Signal_ppStau-200,HSCP signal,,Up,shapes,1.0,Triggersyst,
370,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Triggersyst_down,Signal_ppStau-200,HSCP signal,,Down,shapes,1.0,Triggersyst,
371,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Ptsyst_up,Signal_ppStau-200,HSCP signal,,Up,shapes,1.0,Ptsyst,
372,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_ppStau-200-SR1.root,hpass_Ptsyst_down,Signal_ppStau-200,HSCP signal,,Down,shapes,1.0,Ptsyst,
373,Signal_ppStau-200,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_ppStau-200-SR1.root,hpass,Signal_ppStau-200,HSCP signal,,,,,,
