,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,fail,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hfail,Data,Data,,,,,,
1,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
878,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass,Signal_tauPrime2e-2200,HSCP signal,,,lnN,,,1.018
879,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_PUsyst_up,Signal_tauPrime2e-2200,HSCP signal,,Up,shapes,1.0,PUsyst,
880,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_PUsyst_down,Signal_tauPrime2e-2200,HSCP signal,,Down,shapes,1.0,PUsyst,
881,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Fsyst_up,Signal_tauPrime2e-2200,HSCP signal,,Up,shapes,1.0,Fsyst,
882,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Fsyst_down,Signal_tauPrime2e-2200,HSCP signal,,Down,shapes,1.0,Fsyst,
883,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Gsyst_up,Signal_tauPrime2e-2200,HSCP signal,,Up,shapes,1.0,Gsyst,
884,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Gsyst_down,Signal_tauPrime2e-2200,HSCP signal,,Down,shapes,1.0,Gsyst,
885,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Triggersyst_up,Signal_tauPrime2e-2200,HSCP signal,,Up,shapes,1.0,Triggersyst,
886,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Triggersyst_down,Signal_tauPrime2e-2200,HSCP signal,,Down,shapes,1.0,Triggersyst,
887,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Ptsyst_up,Signal_tauPrime2e-2200,HSCP signal,,Up,shapes,1.0,Ptsyst,
888,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass_Ptsyst_down,Signal_tauPrime2e-2200,HSCP signal,,Down,shapes,1.0,Ptsyst,
889,Signal_tauPrime2e-2200,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_tauPrime2e-2200-SR1.root,hpass,Signal_tauPrime2e-2200,HSCP signal,,,,,,
